,Contract Address,Classification,Detailed Classification,upgradeable_x,upgradeable_y
360,0x3f3804176d90640ac6063124afd4bc0636ac85b6,Not a proxy,No delegatecall found,0,1
362,0xfd09cf7cfffa9932e33668311c4777cb9db3c9be,Forward proxy,No assignments to local11 outside the fallback function,0,1
373,0x62178a673f621d5f4bb7d16f986c0a7ba3207385,Forward proxy,No assignments to local1 outside the fallback function,0,1
392,0x16659ef4f9925b4e0c5c3df5763fbd8e8bb9ea7e,Forward proxy,No assignments to var_2 outside the fallback function,0,1
395,0xf5ce09e1442ef2ed40a27c185ec42b33e5f53e30,Forward proxy,No assignments to local1 outside the fallback function,0,1
404,0x525794473f7ab5715c81d06d10f52d11cc052804,Forward proxy,No assignments to local1 outside the fallback function,0,1
413,0x61ee8806891e9411722ad20c1e30be7da8ad933d,Forward proxy,No assignments to var_1 outside the fallback function,0,1
428,0x5de89cb4d6dc83a2a3279d8d9de936d870e0e7e8,Forward proxy,No assignments to var_1 outside the fallback function,0,1
438,0x0a06b69bc6157e603a4806c1a5bf7bb88591c946,Not a proxy,No delegatecall found,0,1
440,0xaa8467672eeea00876da103f259593272576a82a,Forward proxy,No assignments to local1 outside the fallback function,0,1
454,0x46262af08d6b795efb08b4a6e486208f889e0c60,Forward proxy,No assignments to var_2 outside the fallback function,0,1
457,0x42d03f506c2308ecd06ae81d8fa22352bc7a8f2b,Not a proxy,No delegatecall found,0,1
463,0x1337def1c5ebbd9840e6b25c4438e829555395aa,Forward proxy,No assignments to local1 outside the fallback function,0,1
464,0x0000000000085d4780b73119b644ae5ecd22b376,Forward proxy,No assignments to local4 outside the fallback function,0,1
466,0x8916a9b0064feab04b3bf3729adbb0be119ed12d,Forward proxy,No assignments to dTokenImplementation outside the fallback function,0,1
484,0xf457ea19f2bbfb5f7c7c647c04edb05bdfe7177e,Forward proxy,No assignments to var_1 outside the fallback function,0,1
494,0x7c8511cb0f44938644e7326f848800d2cdefcdba,Not a proxy,No delegatecall found,0,1
495,0x517acf504117ebc90d0b7099e0fcd85d8ef54501,Forward proxy,No assignments to local1 outside the fallback function,0,1
510,0x6538f7e8cfe5806a72da90468049b088e140860e,Forward proxy,No assignments to local1 outside the fallback function,0,1
512,0x53aa48b2ac0071a6ce61ddb3ba4e41d395b2db51,Forward proxy,No assignments to var_2 outside the fallback function,0,1
520,0x9403d608515f7346ec44b998984d7741fd0d9bd4,Forward proxy,No assignments to local1 outside the fallback function,0,1
533,0xfed91f1f9d7dca3e6e4a4b83cef1b14380abde79,Forward proxy,No assignments to var_2 outside the fallback function,0,1
546,0x91dbc6f587d043fefbaad050ab48696b30f13d89,Not a proxy,No delegatecall found,0,1
550,0x1416946162b1c2c871a73b07e932d2fb6c932069,Forward proxy,No assignments to local1 outside the fallback function,0,1
571,0x49748176576d4997c932ed6dae10d8f18937b6fb,Forward proxy,No assignments to local1 outside the fallback function,0,1
581,0xce88906100c145522be3a509683881241abb3c52,Not a proxy,No delegatecall found,0,1
592,0xd4445fd8b33445185031c2cbeb08c805d234b156,Forward proxy,No assignments to local1 outside the fallback function,0,1
594,0x09400ec683f70174e1217d6dcdbf42448e8de5d6,Not a proxy,No delegatecall found,0,1
597,0x54a0326fb698c2cfaca5327550a897fa66d21f07,Not a proxy,No delegatecall found,0,1
607,0xc5bfbc63dc8d36e81434e93e0ee097999879d7f4,Not a proxy,No delegatecall found,0,1
619,0xec4c73263957decaa1c0a207a18c6745d68087df,Forward proxy,No assignments to local1 outside the fallback function,0,1
625,0x8c6680412e914932a9abc02b6c7cbf690e583afa,Not a proxy,No delegatecall found,0,1
626,0xd76c5b71ba091c785aec1a5c1c901b04876d073b,Unknown,Failed to decompile bytecode,0,1
628,0xd47c5020491de9240947d8aed174abd184574955,Not a proxy,No delegatecall found,0,1
631,0x58a4cdba423a4d143426951512f066a995527bff,Not a proxy,No delegatecall found,0,1
633,0xbdbc2a5b32f3a5141acd18c39883066e4dab9774,Forward proxy,No assignments to local1 outside the fallback function,0,1
