Contract Address,Classification,Detailed Classification,upgradeable_PROXiFY,upgradeable_SWORD
0xf2ad1ee9671f63df7c8f8daa822da1e6fc08b80d,Upgradeable proxy,Variable var_1 assigned outside the fallback function,1,1
0x073a15e5b774f94946071f95e50df29e773abee9,Upgradeable proxy,Variable var_2 assigned outside the fallback function,1,1
0x840c8122433a5aa7ad60c1bcdc36ab9dccf761a5,Upgradeable proxy,Variable var_2 assigned outside the fallback function,1,1
0x96b27fb6852105e55ba206f4622b2ca7dedf8afb,Upgradeable proxy,Variable var_2 assigned outside the fallback function,1,1
0x5f7a299be82d8f5a626300c62c477b233f616121,Not a proxy,No delegatecall found,0,1
0x0b6f9cee7177331e67e2eac007f3e035d62d21ab,Upgradeable proxy,Variable var_2 assigned outside the fallback function,1,1
0x1a1866efd4fb8f024f6a1c708301f30e9128fedf,Upgradeable proxy,Variable var_2 assigned outside the fallback function,1,1
0xfbc2f3582e3e40f86d21432ee07f311a426b4b1e,Forward proxy,No assignments to local1 outside the fallback function,0,1
0xb529381ca784dfa9e88f940a39e3dc98ce1cdbd6,Upgradeable proxy,Variable var_2 assigned outside the fallback function,1,1
0xa70ad7114c5c2a90a88f6811a15a6ee51dd35903,Upgradeable proxy,Variable var_2 assigned outside the fallback function,1,1
0xd650c6db5df53a9f19a6ed45e3d67fa8787e25a9,Upgradeable proxy,Variable var_2 assigned outside the fallback function,1,1
0x3ddf5dad59f8f8e8f957709b044ee84e87b42e25,Not a proxy,No delegatecall found,0,1
0x79bef89a63be04a75f1fa42e8f42ad873b6f43e2,Not a proxy,No delegatecall found,0,1
0x031a8c6be9c58f89565a4dbfd0434c0e98524fdb,Upgradeable proxy,Variable var_2 assigned outside the fallback function,1,1
0x3789a8cac9d2eb3cb87c09ca3422b928c768b362,Upgradeable proxy,Variable var_1 assigned outside the fallback function,1,1
0xd12aba72cad68a63d9c5c6ebe5461fe8fa774b60,Upgradeable proxy,Variable var_2 assigned outside the fallback function,1,1
0x91760efc9bbf3d529ce5d445c4f8b05a1676c4b4,Upgradeable proxy,Variable var_2 assigned outside the fallback function,1,1
0x459086f2376525bdceba5bdda135e4e9d3fef5bf,Upgradeable proxy,Variable var_2 assigned outside the fallback function,1,1
0x1b39d5fe0f26e77175d329b8f700da835fc3ebff,Upgradeable proxy,Variable var_2 assigned outside the fallback function,1,1
0x50815e090f933afc5fbb7e7c96fe0c4c675a83a0,Upgradeable proxy,Variable var_2 assigned outside the fallback function,1,1
0xd1a58a18ab40e3c5b8f611d0d405d01707cf77ac,Upgradeable proxy,Variable var_2 assigned outside the fallback function,1,1
0x84c37695607062fc76fc3b2152078a84aa18b8b7,Upgradeable proxy,Variable var_2 assigned outside the fallback function,1,1
0xbce30c26d29852c97332f609bd722ba7f244f567,Upgradeable proxy,Variable var_2 assigned outside the fallback function,1,1
0x248db1585b9d8c63c40689bf21218500ab1b0669,Upgradeable proxy,Variable var_2 assigned outside the fallback function,1,1
0x10e438782d0eaccecbae5fceeab5401a6816297e,Upgradeable proxy,Variable var_2 assigned outside the fallback function,1,1
0x38b25c0a9e61e226023b700ce4a6a4134ecaeedf,Upgradeable proxy,Variable var_1 assigned outside the fallback function,1,1
0x7f6f64cb011dc86d015987e5acb2ea70e597c721,Forward proxy,No assignments to masterCopy outside the fallback function,0,0
0x864d335ec403e491b157000ddb92a48c6024df26,Upgradeable proxy,Variable var_2 assigned outside the fallback function,1,1
0x985f6746259e5aedcca4ffd82b166eba824ac096,Upgradeable proxy,Variable var_2 assigned outside the fallback function,1,1
0x4d425e65961e0e1125db6bd2cf77160cb6579740,Upgradeable proxy,Variable var_2 assigned outside the fallback function,1,1
0x3573aadaa30eb31741bbe65edbc0b76a0d1a980e,Upgradeable proxy,Variable var_2 assigned outside the fallback function,1,1
0xc25167ffa19b4d9d03c7d5aa4682c7063f345b66,Upgradeable proxy,Variable var_2 assigned outside the fallback function,1,1
0x87b884df4a33e78ace46b93c803aa9d59bf0db98,Upgradeable proxy,Variable var_2 assigned outside the fallback function,1,1
0x16ec33c413934023ed102d5e6ab31d064dcfd842,Upgradeable proxy,Variable var_2 assigned outside the fallback function,1,1
0x47a3d8c3b50e6091d4a163c7ddbfd9e3140e767f,Upgradeable proxy,Variable var_2 assigned outside the fallback function,1,1
0xa05e45396703babaa9c276b5e5a9b6e2c175b521,Upgradeable proxy,Implementation address can be modified,1,1
0x2c3643d129c85aa953378bf1df5d024fb9b15456,Upgradeable proxy,Variable var_2 assigned outside the fallback function,1,1
0x3268465a4c01c0a76cdb03dcb47480aca4e20d0e,Upgradeable proxy,Variable var_2 assigned outside the fallback function,1,1
0x2a8c7d510846d13c3a9e7e1e20c31e6e799c849f,Upgradeable proxy,Variable var_2 assigned outside the fallback function,1,1
0xce5defa8a6c0ad8afc4d3b17dda054340b6ec6bf,Upgradeable proxy,Variable var_2 assigned outside the fallback function,1,1
0xa71ebba5f3f24e84be96240264ae5de38b63860d,Upgradeable proxy,Variable var_2 assigned outside the fallback function,1,1
0x6d2cb724a0cec656d3beafd7626a2273d1c676d9,Forward proxy,No assignments to local1 outside the fallback function,0,1
0xd1a06725e9fee446b4a49cee85c9c213cc13f39a,Not a proxy,No delegatecall found,0,0
0x665a93dca3c4ceaf6c67a6bbd014327e6ae01de8,Upgradeable proxy,Variable var_2 assigned outside the fallback function,1,1
0xb41b02bf8d30436514c3ffd50a949716c216410f,Upgradeable proxy,Variable var_2 assigned outside the fallback function,1,1
0x0d20ca4c5f0d287e00239c110c636ae646b2af52,Upgradeable proxy,Variable var_2 assigned outside the fallback function,1,1
0xbba715d4444b186141c67b431a69ef7016498006,Upgradeable proxy,Variable var_2 assigned outside the fallback function,1,1
0x43e1505e315be6c8b875a37f7d8753ba84140a37,Not a proxy,No delegatecall found,0,1
0x903214d3d3616d8dc5ccb3d40a435dca08f08010,Upgradeable proxy,Variable var_1 assigned outside the fallback function,1,1
0x75f69b26c78f316dd4cc1a4223d5023b5ce537ca,Upgradeable proxy,Variable var_2 assigned outside the fallback function,1,1
0x73bde888664df8ddfd156b52e6999eeabab57c94,Upgradeable proxy,Variable var_2 assigned outside the fallback function,1,1
0x65ca2a9f12db2cb6cf37eed4470fa5f2690241de,Upgradeable proxy,Variable var_2 assigned outside the fallback function,1,1
0x29fe7d60ddf151e5b52e5fab4f1325da6b2bd958,Upgradeable proxy,Variable var_2 assigned outside the fallback function,1,1
0x03d20ef9bdc19736f5e8baf92d02c8661a5941f7,Upgradeable proxy,Variable var_2 assigned outside the fallback function,1,1
0xe0c8b298db4cffe05d1bea0bb1ba414522b33c1b,Upgradeable proxy,Variable var_2 assigned outside the fallback function,1,1
0xf483c031925734f3af707395201c5bbbb0816dcd,Upgradeable proxy,Variable var_2 assigned outside the fallback function,1,1
0x8c39c2e2172389e54fd5a6a0a7f4296b97d4d9c8,Upgradeable proxy,Variable var_2 assigned outside the fallback function,1,1
0xf7d100e0386d3d2c68d39a6c7f0dda801182b84f,Upgradeable proxy,Variable var_2 assigned outside the fallback function,1,1
0xa4db07460c7473ef3aaf2c26da46b00a4d986d72,Forward proxy,No assignments to local4 outside the fallback function,0,1
0x277e80f3e14e7fb3fc40a9d6184088e0241034bd,Upgradeable proxy,Variable implementation assigned outside the fallback function,1,1
0xe4c7196def1c8408acdecc475c419310bec2c65f,Upgradeable proxy,Variable var_2 assigned outside the fallback function,1,1
0xec18ffea29dacc0f47525529fd1fd1d4a40fe65c,Upgradeable proxy,Variable var_1 assigned outside the fallback function,1,1
0xec114001d23eefe6624fb42ccbf4b3c793e295f1,Not a proxy,No delegatecall found,0,1
0xad691633e8eb641b646e97296a7dd82395f9ab75,Upgradeable proxy,Variable var_2 assigned outside the fallback function,1,1
0x906fd331f5e382f05b8ae26900140c37f0db139a,Not a proxy,No delegatecall found,0,1
