Contract Address,Classification,Detailed Classification,Upgradeability (PROXiFY),Upgradeability (USC HUNT)
0xc786097d69299835f3479a1fcd5a1C5638faCaDE,Forward proxy,No assignments to local8 outside the fallback function,n,y
0xd3d5A88461bD20494ECdF6b57d0FD4b20DA6b3bb,Not a proxy,No delegatecall found,n,y
0x89d0a07b792754460faa49e57437b40aa33fb757,Forward proxy,No assignments to local14 outside the fallback function,n,y
0x171d39e1c5b8c831468b43800e16406d4e9ec847,Upgradeable proxy,Variable var_2 assigned outside the fallback function,y,y
0xa02f5f130f8112ee1a91ea43026c7895c2a5bb8f,Forward proxy,No assignments to local1 outside the fallback function,n,y
0x3e6ae87673424b1a1111e7f8180294b57be36476,Upgradeable proxy,Variable var_2 assigned outside the fallback function,y,y
0x6595618c9a67791226b1bb45e567d66a7a1168b5,Forward proxy,No assignments to local1 outside the fallback function,n,y
0xBadCf640bF54d28B15235DCec5817756f247cceD,Upgradeable proxy,Variable implementation assigned outside the fallback function,y,y
0xc34a8AfBbC912feB57881CD033825E9a199CF6Bf,Not a proxy,No delegatecall found,n,y
0x23f33965877bfce561ab3ea37b54ccdf9a4a4cf5,Upgradeable proxy,Implementation Address can be modified,y,y
0xa4a689c90d5042202570cf85e730a5cb9ead77a2,Upgradeable proxy,Variable implementation assigned outside the fallback function,y,y
0x5191d56fd4568379932bbf2321ba978072fac24e,Upgradeable proxy,Variable var_1 assigned outside the fallback function,y,y
0x45d0bdfdfbfd62e14b64b0ea67dc6eac75f95d4d,Upgradeable proxy,Variable upgradableContractAddress assigned outside the fallback function,y,y
0x8676cb811b9148bb1171747221d9cf36c8e1c1f2,Forward proxy,No assignments to masterCopy outside the fallback function,n,n
0x8676cb811b9148bb1171747221d9cf36c8e1c1f2,Forward proxy,No assignments to masterCopy outside the fallback function,n,y
0x6de77a304609472a4811a0bfd47d8682aebc29df,Upgradeable proxy,Variable local6 assigned outside the fallback function,y,y
0x927043a6e64ef753a8158b75fca891fc5eee2401,Upgradeable proxy,Implementation Address can be modified,y,y
